923	author	title	journal	abstract	0	pub_date	volume	issue	pages	0	0
11	"Arnold, JN"	The glycosylation of human serum IgD and IgE and the accessibility of identified oligomannose structures for interaction with mannan-binding lectin	J Immunol	"Analysis of the glycosylation of human serum IgD and IgE indicated that oligomannose structures are present on both Igs. The relative proportion of the oligomannose glycans is consistent with the occupation of one N-linked site on each heavy chain. We evaluated the accessibility of the oligomannose glycans on serum IgD and IgE to mannan-binding lectin (MBL). MBL is a member of the collectin family of proteins, which binds to oligomannose sugars. It has already been established that MBL binds to other members of the Ig family, such as agalactosylated glycoforms of IgG and polymeric IgA. Despite the presence of potential ligands, MBL does not bind to immobilized IgD and IgE. Molecular modeling of glycosylated human IgD Fc suggests that the oligomannose glycans located at Asn(354) are inaccessible because the complex glycans at Asn(445) block access to the site. On IgE, the additional C(H)2 hinge domain blocks access to the oligomannose glycans at Asn(394) on one H chain by adopting an asymmetrically bent conformation. IgE contains 8.3% Man(5)GlcNAc(2) glycans, which are the trimmed products of the Glc(3)Man(9)GlcNAc(2) oligomannose precursor. The presence of these structures suggests that the C(H)2 domain flips between two bent quaternary conformations so that the oligomannose glycans on each chain become accessible for limited trimming to Man(5)GlcNAc(2) during glycan biosynthesis. This is the first study of the glycosylation of human serum IgD and IgE from nonmyeloma proteins."	2004	Dec-01	173	11	6831-40	15557177	572
12	"Arnold, JN"	Human immunoglobulin glycosylation and the lectin pathway of complement activation	Adv Exp Med Biol		2005		564		27-43	16400805	0
13	"Arnold, JN"	Human serum IgM glycosylation: identification of glycoforms that can bind to mannan-binding lectin	J Biol Chem	"The glycoprotein IgM is the major antibody produced in the primary immune response to antigens, circulating in the serum both as a pentamer and a hexamer. Pentameric IgM has a single J chain, which is absent in the hexamer. The mu (heavy) chain of IgM has five N-linked glycosylation sites. Asn-171, Asn-332, and Asn-395 are occupied by complex glycans, whereas Asn-402 and Asn-563 are occupied by oligomannose glycans. The glycosylation of human polyclonal IgM from serum has been analyzed. IgM was found to contain 23.4% oligomannose glycans GlcNAc2Man5-9, consistent with 100% occupancy of Asn-402 and 17% occupancy of the variably occupied site at Asn-563. Mannan-binding lectin (MBL) is a member of the collectin family of proteins, which bind to oligomannose and GlcNAc-terminating structures. A commercial affinity chromatography resin containing immobilized MBL has been reported to be useful for partial purification of mouse and also human IgM. Human IgM glycoforms that bind to immobilized MBL were isolated; these accounted for only 20% of total serum IgM. Compared with total serum IgM, the MBL-binding glycoforms contained 97% more GlcNAc-terminating structures and 8% more oligomannose structures. A glycosylated model of pentameric IgM was constructed, and from this model, it became evident that IgM has two distinct faces, only one of which can bind to antigen, as the J chain projects from the non-antigen-binding face. Antigen-bound IgM does not bind to MBL, as the target glycans appear to become inaccessible once IgM has bound antigen. Antigen-bound IgM pentamers therefore do not activate complement via the lectin pathway, but MBL might have a role in the clearance of aggregated IgM."	2005	Aug-12	280	32	29080-7	15955802	600
14	"Arnold, JN"	Interaction of mannan binding lectin with alpha2 macroglobulin via exposed oligomannose glycans: a conserved feature of the thiol ester protein family?	J Biol Chem	"The serum collectin mannan-binding lectin (MBL) binds to oligomannose and GlcNAc-terminating glycans present on microorganisms. Using a commercial affinity chromatography resin containing immobilized MBL we screened human and mouse serum for endogenous MBL-binding targets. We isolated the serum protease inhibitor alpha(2) macroglobulin (alpha2M), a heavily glycosylated thiol ester protein (TEP) composed of four identical 180-kDa subunits, each of which has eight N-linked glycosylation sites. alpha2M has previously been reported to interact with MBL; however, the interaction was not characterized. We investigated the mechanism of formation of complexes between alpha2M and MBL and concluded that they form by the direct binding of oligomannose glycans Man(5-7) occupying Asn-846 on alpha2M to the lectin domains (carbohydrate recognition domains) of MBL. The oligomannose glycans are accessible for lectin binding on both active alpha2M (thiol ester intact) and protease-cleaved alpha2M (thiol ester cleaved). We demonstrate that MBL is able to interact with alpha2M in the fluid phase, but the interaction does not inhibit the binding of MBL to mannan-coated surfaces. In addition to alpha2M, two other members of the TEP family, C3 and C4, which also contain oligomannose glycans, were captured from human serum using the MBL resin. MBL binding may be a conserved feature of the TEPs, dating from their ancestral origins. We suggest that the inhibition of proteases on the surface of microorganisms by an ancestral alpha2M-like TEP may generate ""arrays"" of oligomannose glycans to which MBL or other lectins can bind. Binding would lead to opsonization or activation of enzyme systems such as complement."	2006	Mar-17	281	11	6955-63	16407218	634
15	"Arsequell, G"	9-Fluorenylmethoxycarbonyl (Fmoc)-glycine coupling of saccharide beta-glycosylamines for the fractionation of oligosaccharides and the formation of neoglycoconjugates	Anal Biochem	"We have devised a new saccharide derivatization scheme to provide not only the temporary attachment of a chromophore for detecting and facilitating the chromatographic separation of carbohydrates, but also the intermediates for further derivatization to produce neoglycoconjugates. Several neutral unprotected saccharide beta-glycosylamines were formed by the direct condensation of the reducing saccharides with aqueous ammonium bicarbonate. The beta-glycosylamine derivatives of N-acetylglucosamine, di-N-acetylchitobiose, and asialo-, digalactosylated biantennary complex oligosaccharide were N-acylated separately with excess 9-fluorenylmethoxycarbonyl (Fmoc)-glycine. The Fmoc-glycinamido beta-derivatives of these unprotected saccharides were well separated by normal-phase high-performance liquid chromatography and detected by ultraviolet absorption. Similar derivatization and fractionation of a partial acid hydrolyzate of chitin were equally successful resulting in the separation of Fmoc-glycinamido derivatives of di-N-acetylchitobiose to hepta-N-acetylchitoheptaose in the hydrolyzate. The reversibility of the Fmoc derivatization was demonstrated by treating the Fmoc-glycinamido derivative of N-acetylglucosamine with piperidine to generate its 1-N-glycyl-beta-saccharide derivative. The structure and stereochemistry of this product was confirmed by proton nuclear magnetic resonance spectroscopy. The 1-N-glycyl-beta-saccharide derivatives are stable intermediates for the formation of asparagine-linked neoglycoconjugates."	1994	Jan	216	1	165-70	8135348	0
16	"Aschaffenburg, R"	Crystallization of the Fv fragment of mouse myeloma protein M315	Biochem J	"The Fv fragment of mouse myeloma protein M313 was crystallized from poly(ethylene glycol) solution in the form of monoclinic crystals, space group C2 and unit cell dimensions a = 5.96 nm (59.6 A), b = 5.66 nm (56.6 A), c = 13.79 nm (13.9 A) and beta = 99.7 degrees. Some unusual effects of poly(ethylene glycol)on protein crystals were noted and are discussed."	1979	Aug-01	181	2	497-9	496896	0
17	"Ashford, D"	"The beta 1----2-D-xylose and alpha 1----3-L-fucose substituted N-linked oligosaccharides from Erythrina cristagalli lectin. Isolation, characterisation and comparison with other legume lectins"	Eur J Biochem	"The carbohydrate moieties of Erythrina cristagalli lectin were released as oligosaccharides by hydrazinolysis, followed by N-acetylation and reduction with NaB3H4. Fractionation of the tritium-labelled oligosaccharide mixture by Bio-Gel P-4 column chromatography and high-voltage borate electrophoresis revealed that it is composed of five neutral oligosaccharides. Structural studies by sequential exoglycosidase digestion in combination with methylation analysis and two-dimensional 1H-NMR showed that the major component was the fucose-containing heptasaccharide Man alpha 3(Man alpha 6)(Xyl beta 2)Man beta 4GlcNAc beta 4(Fuc alpha 3)GlcNAcol. This is the first report of such a structure in plant lectins. Small amounts of the corresponding afucosyl hexasaccharide were also identified, as well as three other minor components. The structure of the heptasaccharide shows the twin characteristics of a newly established family of N-linked glycans, found to date only in plants. The characteristics are substitution of the common pentasaccharide core [Man alpha 3(Man alpha 6)Man beta 4GlcNAc beta 4GlcNAc] by a D-xylose residue linked beta 1----2 to the beta-mannosyl residue and an L-fucose residue linked alpha 1----3 to the reducing terminal N-acetylglucosamine residue. The oligosaccharide heterogeneity pattern for Erythrina cristagalli lectin was also found for the lectins from four other Erythrina species and the lectins of two other legumes, Sophora japonica and Lonchocarpus capassa."	1987	Jul-15	166	2	311-20	3609010	0
18	"Ashford, DA"	The glycosylation of glycoprotein lectins. Intra- and inter-genus variation in N-linked oligosaccharide expression	Carbohydr Res	"Glycosylated lectins represent a series of glycoproteins with related activities and, in the case of the Leguminosae, related amino acid sequences. Therefore, they offer a model system in which to study the diversity of N-linked oligosaccharide structures of plant glycoproteins. The influence of the polypeptide on the type of oligosaccharide substitution and the problem of inter- and intra-genus variation in glycosylation can also be addressed. Analysis of the glycosylation of 18 lectins has shown that they can be classified into four qualitatively similar groups on the basis of the Bio-Gel P-4 elution profiles of the oligosaccharides released by hydrazinolysis: (a) The Erythrina cristagalli profile, with a major component at 8.8 glucose units (gu) and minor components at 8.0, 7.2, and 5.8 gu. The major component is the heptasaccharide, alpha-D-Manp-(1----3)-[alpha-D-Manp-(1----6)]-[beta-D-Xyl p-(1----2)]- beta-D-Manp-beta-D-GlcpNAc-(1----4)-[alpha-L-Fucp-(1----3)]- D-GlcNAc. (b) The Phaseolus vulgaris profile, which was characterized by peaks at 12.5, 11.7, 10.8, and 9.9 gu, in addition to the peaks at 8.8, 8.0, 7.2, and 5.8 gu mentioned above. These higher-mol.-wt. components were oligo-D-mannose oligosaccharides containing 9, 8, 7, and 6 D-mannose residues, respectively. (c) The Lonchocarpas capassa profile, which had a major peak at approximately 8 gu. (d) The soybean agglutinin profile, which has a single peak at 12.5 gu. This peak consisted solely of an oligomannose undecasaccharide containing 9 D-mannose residues. This lectin is unique in that it shows no microheterogeneity."	1991	Jun-25	213		215-27	1933938	0
19	"Ashford, DA"	Site-specific glycosylation of recombinant rat and human soluble CD4 variants expressed in Chinese hamster ovary cells	J Biol Chem	"The rat and human forms of the T-cell surface glycoprotein CD4 share a common glycosylation site at the Asn270/271 position but differ with respect to the locations of the second glycosylation sites at Asn159 (rat) and Asn300 (human). The glycosylation of soluble recombinant forms of human and rat CD4 (sCD4) expressed in Chinese hamster ovary cells has been characterized. The most obvious differences between the rat and human sCD4 oligosaccharides were the greater abundance of oligomannose and hybrid oligosaccharides on rat sCD4 and the presence of oligosaccharides carrying a terminal alpha-galactose residue on human sCD4. This is the first report of the occurrence of alpha-galactose residues on a glycoprotein expressed in Chinese hamster ovary cells. Comparison of mutant rat sCD4 molecules with single glycosylation sites and glycopeptides indicated that site-specific and independent processing occurred at each glycosylation site. The glycosylation at the conserved site at Asn270 of rat sCD4 was identical to that seen for the equivalent site in human sCD4, and the oligomannose and hybrid structures were restricted to the nonconserved site at Asn159 in rat sCD4. However, there was more oligosaccharide processing at this site in a truncated form of rat sCD4 consisting of the two NH2-terminal domains. These results indicate that not only the local three-dimensional structure but also domain interactions can influence the processing at individual glycosylation sites."	1993	Feb-15	268	5	3260-7	8429003	0
20	"Axford, JS"	Comment on the article by Tomana et al	Arthritis Rheum		1989	Feb	32	2	235-6	2920059	0
21	"Bahr, GM"	"Agalactosyl IgG, antibodies to heat shock proteins, and acute rheumatic fever"	Ann Rheum Dis	"In rheumatoid arthritis an increased proportion of the N-linked oligosaccharides on serum IgG terminate with N-acetylglucosamine (agalactosyl IgG). It has recently been shown that group A streptococcal cell wall peptidoglycan/polysaccharide complex may be used to raise monoclonal antibodies which bind to this glycoform of IgG. Patients with rheumatoid arthritis also have increased levels of antibody to the 65 kD and 70 kD families of heat shock proteins, particularly to a bacterial (Mycobacterium bovis) homologue of heat shock protein hsp65. Streptococci must contain similar heat shock proteins. Acute rheumatic fever follows infection with group A streptococci, and these organisms might theoretically evoke antibody to heat shock proteins or changes in the levels of agalactosyl IgG, which is antigenically cross reactive with their cell walls. It is shown here that serum samples from patients with acute rheumatic fever do not differ from those from normal children by these criteria."	1990	Jun	49	6	383-6	2200356	0
22	"Barondes, SH"	Galectins: a family of animal beta-galactoside-binding lectins	Cell		1994	Feb-25	76	4	597-8	8124704	0
23	"Bates, B"	Biosynthesis of human fibroblast growth factor-5	Mol Cell Biol	"We have analyzed the biosynthesis of human fibroblast growth factor-5 (FGF-5) at the translational and posttranslational levels. FGF-5 RNA synthesized in vitro can be translated in rabbit reticulocyte lysates to yield a 29,500-Da protein, which is consistent with the molecular weight predicted from the coding sequence. The efficiency of FGF-5 translation is dramatically enhanced if an upstream open reading frame (ORF-1) in the RNA is deleted or if both AUG codons in ORF-1 are destroyed by point mutations, while partial enhancement is achieved by individual mutation of either ORF-1 AUG codon. These data suggest that FGF-5 synthesis requires the scanning of ribosomes past the two ORF-1 AUG codons. The introduction of these ORF-1 mutations into a eukaryotic FGF-5 expression vector increases its capacity to transform mouse NIH 3T3 cells up to 50-fold upon transfection. FGF-5 is secreted from transfected 3T3 cells and from human tumor cells as glycoproteins containing heterogeneous amounts of sialic acid. Glycosidase treatments suggest that the growth factor bears both N-linked and O-linked sugars."	1991	Apr	11	4	1840-5	2005884	0
24	"Bennick, A"	Relationship between conformationally sensitive probe binding sites on phosphorylase b	Nat New Biol		1971	Dec-01	234	48	140-3	4332179	0
25	"Bennick, A"	Ligand-enzyme interactions and enzyme regulation	Ann N Y Acad Sci		1973	Dec-31	222		175-91	4361854	0
26	"Bezouska, K"	Evolutionary conservation of intron position in a subfamily of genes encoding carbohydrate-recognition domains	J Biol Chem	"The structure of the gene encoding a chicken liver receptor, the chicken hepatic lectin, which mediates endocytosis of glycoproteins has been established. The coding sequence is divided into six exons separated by five introns. The first three exons correspond to separate functional domains of the receptor polypeptide (cytoplasmic tail, transmembrane sequence, and extracellular neck region), while the final three exons encode the Ca(2+)-dependent carbohydrate-recognition domain. These results, as well as computer-assisted multiple sequence comparisons, establish this receptor as the evolutionary homolog of the mammalian asialoglycoprotein receptors. It is interesting that the chicken receptor falls into a subfamily of proteins along with the mammalian asialoglycoprotein receptors, since the saccharide-binding specificity of the chicken receptor resembles more closely that of a different set of calcium-dependent animal lectins, which includes the mannose-binding proteins. The portions of the genes encoding the carbohydrate-recognition domains of these proteins lack introns. The results suggest that divergence of intron-containing and intron-lacking carbohydrate-recognition domains preceded shuffling events in which other functional domains were associated with the carbohydrate-recognition domains. This was followed by further divergence, generating a variety of saccharide-binding specificities."	1991	Jun-25	266	18	11604-9	2050668	0
